{'WORLD_SIZE': 4, 'N': 48, 'time': 10.991368650982622, 'time_per_img': 0.23385890746771537, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.5322265625, 'local_rank': 1, 'scenario': 'ds0'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 12.87842463699053, 'time_per_img': 0.2740090348295858, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.4697265625, 'local_rank': 1, 'scenario': 'ds1'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 11.006736443989212, 'time_per_img': 0.2341858817870045, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.8037109375, 'local_rank': 1, 'scenario': 'ds2'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 21.365004764986224, 'time_per_img': 0.454574569467792, ('torch.float32', 'cuda:1'): 125189, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2939453125, 'local_rank': 1, 'scenario': 'ds3'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.2317989070143085, 'time_per_img': 0.13259146610668743, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.9169921875, 'local_rank': 1, 'scenario': 'ds0-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 7.321979813015787, 'time_per_img': 0.15578680453225077, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.5791015625, 'local_rank': 1, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.112455246009631, 'time_per_img': 0.21515862225552407, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.9970703125, 'local_rank': 1, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 18.869018613011576, 'time_per_img': 0.4014684811279059, ('torch.float16', 'cuda:1'): 0, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.8779296875, 'local_rank': 1, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 13.558632027998101, 'time_per_img': 0.2884815325105979, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.0615234375, 'local_rank': 1, 'scenario': 'ds1-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.291567370994017, 'time_per_img': 0.32535249725519183, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 4.8037109375, 'local_rank': 1, 'scenario': 'ds2-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 30.639739564998308, 'time_per_img': 0.6519093524467725, ('torch.float32', 'cuda:1'): 125189, 'get_rank': 1, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 3.8583984375, 'local_rank': 1, 'scenario': 'ds3-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 9.715752772986889, 'time_per_img': 0.206718144106104, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.7, 'gpu_used_gb': 2.5341796875, 'local_rank': 1, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.263173907005694, 'time_per_img': 0.21836540227671689, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.9970703125, 'local_rank': 1, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 46.037325362005504, 'time_per_img': 0.9795175608937341, ('torch.float16', 'cuda:1'): 0, 'get_rank': 1, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.5283203125, 'local_rank': 1, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.436896377999801, 'time_per_img': 0.22206162506382557, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.4, 'gpu_used_gb': 3.5556640625, 'local_rank': 1, 'scenario': 'ds0-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 9.706679488008376, 'time_per_img': 0.20652509548953993, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.5, 'gpu_used_gb': 4.0673828125, 'local_rank': 1, 'scenario': 'ds1-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.03824644300039, 'time_per_img': 0.319962690276604, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 6.1, 'gpu_used_gb': 4.5986328125, 'local_rank': 1, 'scenario': 'ds2-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 5.482818196003791, 'time_per_img': 0.116655706297953, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.4, 'gpu_used_gb': 3.6142578125, 'local_rank': 1, 'scenario': 'ds0-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.431672959995922, 'time_per_img': 0.13684410553182813, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 4.5, 'gpu_used_gb': 2.6884765625, 'local_rank': 1, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 8.716396514995722, 'time_per_img': 0.18545524499990898, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 2.8818359375, 'local_rank': 1, 'scenario': 'ds2-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.560255357006099, 'time_per_img': 0.33106926291502337, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 6.1, 'gpu_used_gb': 3.7939453125, 'local_rank': 1, 'scenario': 'ds1-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 12.236791661998723, 'time_per_img': 0.26035726940422815, ('torch.float32', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 6.1, 'gpu_used_gb': 4.5986328125, 'local_rank': 1, 'scenario': 'ds2-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 8.835899155004881, 'time_per_img': 0.187997854361806, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 2.4501953125, 'local_rank': 1, 'scenario': 'ds1-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 8.777026180003304, 'time_per_img': 0.18674523787241074, ('torch.float16', 'cuda:1'): 124443653, 'get_rank': 1, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 2.8818359375, 'local_rank': 1, 'scenario': 'ds2-f16-offload-ort'}
