{'WORLD_SIZE': 4, 'N': 48, 'time': 30.830805587000214, 'time_per_img': 0.6559745869574514, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 8.2607421875, 'local_rank': 1, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 57.93784781199065, 'time_per_img': 1.232720166212567, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4658203125, 'local_rank': 1, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 84.46339354399242, 'time_per_img': 1.7970934796594134, ('torch.float16', 'cuda:1'): 0, 'get_rank': 1, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 7.8505859375, 'local_rank': 1, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.25765695501468, 'time_per_img': 1.2395246160641422, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.0107421875, 'local_rank': 1, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.10646146701765, 'time_per_img': 1.2363076907876096, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4658203125, 'local_rank': 1, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 118.82190696700036, 'time_per_img': 2.528125680148944, ('torch.float16', 'cuda:1'): 0, 'get_rank': 1, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 1, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 26.72443894099979, 'time_per_img': 0.5686050838510593, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 3.9, 'gpu_used_gb': 7.5380859375, 'local_rank': 1, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 48.96916198600047, 'time_per_img': 1.041897063531925, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.6142578125, 'local_rank': 1, 'scenario': 'ds2-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 103.89014298999973, 'time_per_img': 2.2104285742553134, ('torch.float32', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.5283203125, 'local_rank': 1, 'scenario': 'ds1-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 101.02911348200087, 'time_per_img': 2.1495556060000185, ('torch.float32', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.9658203125, 'local_rank': 1, 'scenario': 'ds2-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 53.3854444360004, 'time_per_img': 1.1358605199149021, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.1396484375, 'local_rank': 1, 'scenario': 'ds1-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 49.294211688999894, 'time_per_img': 1.0488130146595722, ('torch.float16', 'cuda:1'): 774036485, 'get_rank': 1, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.6142578125, 'local_rank': 1, 'scenario': 'ds2-f16-offload-ort'}
