{'WORLD_SIZE': 4, 'N': 48, 'time': 30.831000080972444, 'time_per_img': 0.6559787251270733, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 8.2607421875, 'local_rank': 2, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 57.9394198670052, 'time_per_img': 1.2327536141916, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4404296875, 'local_rank': 2, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 84.46398452698486, 'time_per_img': 1.7971060537656354, ('torch.float16', 'cuda:2'): 0, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 7.8525390625, 'local_rank': 2, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.25878352401196, 'time_per_img': 1.2395485856172757, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.0107421875, 'local_rank': 2, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.105621692026034, 'time_per_img': 1.2362898232345965, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4404296875, 'local_rank': 2, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 118.82213386000058, 'time_per_img': 2.528130507659587, ('torch.float16', 'cuda:2'): 0, 'get_rank': 2, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 2, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 26.72499352399973, 'time_per_img': 0.5686168834893559, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 3.9, 'gpu_used_gb': 7.5380859375, 'local_rank': 2, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 48.967341239000234, 'time_per_img': 1.0418583242340476, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.5888671875, 'local_rank': 2, 'scenario': 'ds2-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 103.90130176399998, 'time_per_img': 2.210665994978723, ('torch.float32', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.5283203125, 'local_rank': 2, 'scenario': 'ds1-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 101.04044615100065, 'time_per_img': 2.1497967266170352, ('torch.float32', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.9775390625, 'local_rank': 2, 'scenario': 'ds2-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 53.384986249000576, 'time_per_img': 1.1358507712553314, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.1396484375, 'local_rank': 2, 'scenario': 'ds1-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 49.295382954999695, 'time_per_img': 1.0488379352127595, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.5888671875, 'local_rank': 2, 'scenario': 'ds2-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 54.89248779199988, 'time_per_img': 1.1679252721702102, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.0107421875, 'local_rank': 2, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 56.90443843200046, 'time_per_img': 1.2107327325957544, ('torch.float16', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.4404296875, 'local_rank': 2, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 119.92624156300008, 'time_per_img': 2.5516221609148952, ('torch.float16', 'cuda:2'): 0, 'get_rank': 2, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 2, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 97.50902820200099, 'time_per_img': 2.0746601745106594, ('torch.float32', 'cuda:2'): 774036485, 'get_rank': 2, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.9775390625, 'local_rank': 2, 'scenario': 'ds2-offload-ort'}
