{'WORLD_SIZE': 4, 'N': 48, 'time': 10.995815121015767, 'time_per_img': 0.23395351321310143, ('torch.float32', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.5322265625, 'local_rank': 2, 'scenario': 'ds0'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 12.87741456599906, 'time_per_img': 0.2739875439574268, ('torch.float32', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2353515625, 'local_rank': 2, 'scenario': 'ds1'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 11.007219430000987, 'time_per_img': 0.2341961580851274, ('torch.float32', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.8056640625, 'local_rank': 2, 'scenario': 'ds2'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 21.36457047701697, 'time_per_img': 0.4545653292982334, ('torch.float32', 'cuda:2'): 125189, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2763671875, 'local_rank': 2, 'scenario': 'ds3'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.230800235993229, 'time_per_img': 0.13257021778708997, ('torch.float16', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.9169921875, 'local_rank': 2, 'scenario': 'ds0-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 7.3237655609846115, 'time_per_img': 0.15582479916988534, ('torch.float16', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.5791015625, 'local_rank': 2, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.111427175987046, 'time_per_img': 0.2151367484252563, ('torch.float16', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.7978515625, 'local_rank': 2, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 18.87089585798094, 'time_per_img': 0.4015084225102328, ('torch.float16', 'cuda:2'): 0, 'get_rank': 2, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.8779296875, 'local_rank': 2, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 13.557657157012727, 'time_per_img': 0.2884607905747389, ('torch.float32', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.0615234375, 'local_rank': 2, 'scenario': 'ds1-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.293042928009527, 'time_per_img': 0.3253838920853091, ('torch.float32', 'cuda:2'): 124443653, 'get_rank': 2, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 4.8056640625, 'local_rank': 2, 'scenario': 'ds2-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 30.63932287701755, 'time_per_img': 0.6519004867450542, ('torch.float32', 'cuda:2'): 125189, 'get_rank': 2, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 3.8779296875, 'local_rank': 2, 'scenario': 'ds3-offload'}
